2015;les yeux bandes
2015;the smell of us     
2015;clash of the titans     
2015;8mm        
08/01/2016;etre        
12/01/2016;sicario        
12/01/2016;la belle saison      
13/01/2016;the revenant (dicaprio)      
14/01/2016;solace        
15/01/2016;in order of disappearance     
19/01/2016;Bitva za sevastopol      
20/01/2016;Black mass       
21/01/2016;Schone Handen       
21/01/2016;thoroaway (grosse merde) pas vu jusqu'au bout  
22/01/2016;B17 la forteresse volante     
23/01/2016;requiem pour une tueuse     
25/01/2016;clash of the titans     
26/01/2016;seven psycopath       
27/01/2016;hyena road       
28/01/2016;in Bruges       
29/01/2016;kept woman       
01/02/2016;made in France      
02/02/2016;jarehead 3       
03/02/2016;the big short      
04/02/2016;sanctuaire        
04/02/2016;the runner       
05/02/2016;Anna        
09/02/2016;legend        
10/02/2016;Abraham Lincoln, chasseur de vampire    
12/02/2016;the last witch hunter     
12/02/2016;Secret in their eyes     
14/02/2016;ni le ciel ni la terre   
15/02/2016;troupe d'elite       
17/02/2016;la desintegration       
18/02/2016;air        
19/02/2016;on voulait tout casser     
19/02/2016;Belles familles       
22/02/2016;the edge       
23/02/2016;enrages        
25/02/2016;suburra        
26/02/2016;plastic        
01/03/2016;everest        
02/03/2016;criminal activities       
04/03/2016;l'ombre et la proie     
07/03/2016;Regression        
08/03/2016;the face of an angel    
09/03/2016;99 Homes       
10/03/2016;fou d'amour       
??/??/??;the patrol       
??/??/??;la peur       
12/03/2016;the lobster       
16/06/2016;cartel land       
17/03/2016;crime à aigue morte     
18/03/2016;point break 2015      
29/03/2016;mon roi       
30/03/2016;the 5th wave      
01/04/2016;Safari -> nul pas vue jusqu'au bout  
14/04/2016;le tout nouveau testament     
15/04/2016;je suis un soldat     
16/04/2016;A royal affair      
18/04/2016;adieu poulet       
19/04/2016;8mm2        
19/04/2016;les betises       
21/04/2016;dark shadow       
23/04/2016;les anarchistes       
26/04/2016;Victor Frankenstein       
28/04/2016;le fils de saul     
30/04/2016;je suis a vous tout de suite  
03/05/2016;The martian       
04/05/2016;je compte sur vous     
06/05/2016;ange et gabrielle      
09/05/2016;21 nuits avec pattie     
10/05/2016;deadpool        
10/05/2016;kajaki        
11/05/2016;l'hermine        
12/05/2016;j'irai au paradis car l'enfer c'est ici  
13/05/2016;De bon matin      
14/05/2016;beaute fatale       
14/05/2016;Maryland        
15/05/2016;l'histoire de richard O     
15/05/2016;une affaire de famille     
17/05/2016;the finest hours      
18/05/2016;triple nine       
25/05/2016;le convoi       
26/05/2016;backtrack        
29/05/2016;la chute de londres     
31/05/2016;la mentale       
01/06/2016;the gunvors       
13/06/2016;by the sea      
14/06/2016;bang gang       
15/06/2016;Donnie Darko       
17/06/2016;virgin suicide       
18/06/2016;anchorman        
19/06/2016;A l'aventure       
19/06/2016;control (film sur joy division)    
20/06/2016;there will be blood     
16/07/2016;Eperdument        
17/07/2016;Criminal        
17/07/2016;tres bien merci      
18/07/2016;the last rescue      
18/07/2016;marseille        
20/07/2016;el clan       
22/07/2016;a perfect day      
25/07/2016;les premiers les derniers     
26/07/2016;Divin enfant       
28/07/2016;eye in the sky     
01/08/2016;Chocolat        
02/08/2016;the nines       
03/08/2016;Detention        
03/08/2016;jason bourne la memoire dans la peau  
04/08/2016;la chambre bleu      
08/08/2016;jason bourne la mort dans la peau  
09/08/2016;five        
11/08/2016;money monster       
23/08/2016;smoking aces       
26/08/2016;rebirth        
28/08/2016;buried        
29/08/2016;the descendants       
01/09/2016;the call up      
03/09/2016;600 miles       
04/09/2016;tout pour etre heureux     
05/09/2016;zodiac        
06/09/2016;the three burial of melquiades    
06/09/2016;in the name of father    
07/09/2016;Braqueurs        
07/09/2016;a hologram for the king    
07/09/2016;adopte un veuf      
08/09/2016;pour une femme      
11/09/2016;allegiant        
12/09/2016;des nouvelles de la planete mars   
14/09/2016;un homme a la hauteur    
15/09/2016;marauders        
17/09/2016;urge        
20/09/2016;the fall       
21/09/2016;eastern promise       
03/10/2016;war dogs       
04/10/2016;midnight special       
05/10/2016;l'avenir        
06/10/2016;Julietta        
07/10/2016;a war       
